,Job Title,company,Location,Employment Type,level,requirement,description,Experience Needed,skills
45,Full Stack Developer,3S Software,"Nasr City, Cairo",Full Time,Experienced (Non-Manager),"[""Bachelor's degree in Engineering, Software, or a related discipline or the equivalent."", '2 to 4 years of Relevant experience', 'Excellent knowledge of software development life cycle.', 'Experience in C#,  Object-oriented Design and Programming.', 'Experience in ASP.Net core, MVC, Entity Framework, REST APIs.', 'Experience in Web services and web APIs.', 'Experience in implementing multi-threading code and asynchronous operations.', 'Experience in MS SQL Server.', 'Architecture, Design patterns and CQRS.', 'Good Knowledge in basic engineering concepts like Data Structure and Algorithms.', 'Familiar with source control and issue management systems (Git / TFS).', 'Experience in:\nReact, Angular, JavaScript, ECMAScript and typescript.\nHTML, CSS, SASS.\nMS reporting service.\nRabbit MQ & MassTransit.\nScrum, Agile, DevOps (CI/CD), TDD, Feature Flags, micro-services, test automation.', 'React, Angular, JavaScript, ECMAScript and typescript.', 'HTML, CSS, SASS.', 'MS reporting service.', 'Rabbit MQ & MassTransit.', 'Scrum, Agile, DevOps (CI/CD), TDD, Feature Flags, micro-services, test automation.', 'Experience in micro-services and services frameworks like [Azure].', 'Location : Nasr City.', 'Benefits: Social & Medical Insurance.', 'Hybrid Attendance ( WFM & Office)']","['Write clean code to implement the desired features.', 'Perform product testing and troubleshooting to ensure a high-quality deliverable.', 'Review and debug code.', 'Perform validation and verification testing.', 'Demonstrate passion and experience in building responsive, elegant, and engaging experiences with future-friendly web technologies.', 'Design client-side and server-side architecture.', 'Troubleshoot, debug and upgrade software.', 'Develop high-quality software (Web/Mobile) solutions.', 'Cooperate with various team members (Project Managers, Architects, QC, Analysts, Product owners, Development team members, etc.).', 'Develop tools and applications by producing clean, efficient code.', 'Solve Problems, Manage, and Break down, estimate, validate, and verify work activities.', 'Document, review, build code unit test, deploy, and debug code.', 'Ensure software is up-to-date with latest technologies.', 'Constantly improving one self’s technical abilities, and cooperate with the surrounding team to improve the whole team.', 'Automate tasks through appropriate tools.']",2 To 4 Years,"['MySQL', 'MVC', 'Information Technology (IT)', 'JavaScript', 'HTML5', 'HTML', 'API', 'SQL Server Reporting Services', 'CSS', 'Software Development', 'Computer Science', '.Net', 'Angular', 'Engineering', 'Git', 'SQL']"
46,Senior .Net Full-Stack Developer (.Net Core - Angular),Confidential Company,"Sheikh Zayed, Giza",Full Time,Experienced (Non-Manager),"['Proficient in programming using C#, SQL Server, and EF.', 'Proficient in web technologies including Asp.net Core, Web API JSON, XML, HTML, CSS, JavaScript, Bootstrap, jQuery, Angular, and React.', 'Proficient in .Net Core, in Entity Framework Core.', 'Strong understanding of object-oriented programming', 'Experience in Microservices Message Queue is a plus.', 'Skill for writing reusable libraries', 'Familiar with various design and architectural patterns', 'Understanding of fundamental design principles for building a scalable application', 'Experience creating database schemas that represent and support business processes', 'Experience in implementing automated testing platforms and unit tests', 'Proficient understanding of code versioning tools such as Git, Azure DevOps']","['Participating in the entire software development life cycle, debugging applications, and configuring existing systems.', 'Writing clean, testable code using .NET programming languages', 'Review and refactor code', 'Cooperating with product managers to develop tools requirements', 'Be responsible for problem analyzing and solving product technical-related issues, providing technical support.', 'Work from home, 5 days a week, 8 hours per day.', 'No medical insurance or social insurance for the first 6 months.']",More Than 3 Years,"['ASP.NET', 'C#', '.net core', 'Software Development', 'Git', '.NET', 'Computer Science', 'Information Technology (IT)', 'HTML', 'CSS', 'javaScript', 'Programming', 'MSSQL', 'Angular', 'jQuery', 'SQL']"
47,Senior Full Stack Developer Angular and Java,TRIMETIS,"Maadi, Cairo",Full Time,Manager,"['Proven experience as a Full Stack Developer or similar role', 'Experience developing desktop and mobile applications', 'Familiarity with common stacks', 'Knowledge of multiple front-end languages and libraries (e.g. HTML/ CSS, JavaScript, XML, jQuery)', 'Knowledge of multiple back-end languages (e.g. C#, Java, Python) and JavaScript frameworks (e.g. Angular, React, Node.js)', 'Familiarity with databases (e.g. MySQL, MongoDB), web servers (e.g. Apache), and UI/UX design', 'Excellent communication and teamwork skills', 'Great attention to detail', 'Organizational skills', 'An analytical mind', 'Experienced in modern front end framework (Angular5+, bonus points for latest versions of Angular)', 'Preferred development experience with Typescript.', 'Significant experience with CSS preprocessors (LESS/Sass)', 'Ability to write high-performance, reusable code for UI components.', 'In-depth experience with modern responsive web design.', 'Knowledge of native DOM and Event APIs', 'Knowledgeable with Git', 'Experienced in Reactive programming', 'Experience in J2EE Application', '+3 years of experience with latest versions of Spring Framework', 'Knowledge of Web Servers Apache Tomcat / WebSphere', 'Significant experience with Database: Oracle', 'Perform a test code with Junit', 'Experience with JPA and Hibernate', 'Knowledge of Jenkins, Sonar and Testing/QA assurance', 'Experience with WebServices SOAP and REST', 'Broad knowledge of different components and tools available in the market and pros and cons of them', 'Experience in Financial services', 'Experience in OWASP security measures', 'Linux, *nix', 'NodeJS experience', 'Financial services experience', 'Experience with Webpack', 'Experience with web site/app security', 'Native and Hybrid programming', 'NgRx library']","['Experience Needed: 8 to 10 years plus in Angular is a must - 3 to 4 years in Java.', 'we are more interested that the full-stack profile has stronger frontend (Angular) skills than backend skills (Java).', 'Degree in Computer Science, or a relevant field', 'Very Good command of English.']",7 To 10 Years,"['Computer Science', 'Information Technology (IT)', 'Java', 'JavaScript', 'Communication skills', 'Software Development', 'Angular', 'Full Stack', 'HTML', 'jQuery', 'MySQL']"
48,Full Stack Team Lead,Confidential Company,"Maadi, Cairo",Full Time,Experienced (Non-Manager),[],"['Propose and review the architecture', 'Communicate with the clients and stakeholders', 'To be part of a cross-functional team that’s responsible for the full software development life cycle', 'analysis & design of new functional requirements and systems.', 'Develop and write high-quality coding standards.', 'Design client-side and server-side architecture']",8 To 10 Years,"['Scrum', 'Angular', 'Full Stack', 'SQL', 'MVC', 'React', 'JavaScript', 'Software Development', '.Net Framework', 'SaaS', 'Computer Science', 'Agile', 'Information Technology (IT)', 'Software']"
49,Full Stack Team Lead,SATA Group,"Nasr City, Cairo",Full Time,Experienced (Non-Manager),"['From 5 to 8 years of experience', 'Degree in computer science.', 'Strong organizational and project management skills.', 'Proficiency with fundamental front-end languages such as HTML, CSS, and JavaScript.', 'Familiarity with JavaScript frameworks such as Angular JS, React, and Amber.', 'Proficiency with server-side languages such as Python, Ruby, Java, PHP, and .Net.', 'Familiarity with database technology such as MySQL, Oracle, and MongoDB.', 'Excellent verbal communication skills.', 'Good problem-solving skills.', 'Attention to detail.']","['Design client-side and server-side architecture.', 'Build the front-end of applications through appealing visual design.', 'Build Technical Team from web, backend and mobile.', 'Develop and manage well-functioning databases and applications.', 'Write effective APIs.', 'Assists management with hiring processes and new team member training.', 'Test software to ensure responsiveness and efficiency.', 'Troubleshoot, debug and upgrade software.', 'Create security and data protection settings.', 'Build features and applications with a mobile responsive design.', 'Build Technical Team from web, backend and mobile.', 'Translate system requirements to task specifications for junior programmers.', 'Build and maintain world-class validation and verification testing processes and practices.', 'Maintain a clear version control using Git.']",3 To 5 Years,"['Sql, Node Js, Angular, .net, postman', 'Computer Science']"
50,Full Stack Developer,Sketch,tech,Full Time,Experienced (Non-Manager),[''],[],1 To 2 Years,"['Full Stack', 'Full Stack Developer', 'Computer Science', 'Software Development']"
51,MERN Stack Developer,Block Gemini,"Mohandessin, Giza",Full Time,Experienced (Non-Manager),[],[],3 To 6 Years,"['JavaScript', 'NodeJS', 'React', 'React.js', 'Information Technology (IT)', 'SQL', 'MongoDB', 'Software Development', 'Agile', 'Scrum', 'Software Engineering', 'Software', 'Computer Science', 'Development']"
52,Full Stack wordpress Developer,Osolutions,"Sheraton, Cairo",Full Time,Experienced (Non-Manager),"['Proven experience in full-stack development with a portfolio of successful projects.', 'Proficient in HTML, CSS, HTML5, CSS3, and CSS frameworks.', 'Strong command of JavaScript, jQuery, Angular, and front-end technologies.', 'Expertise in back-end technologies including PHP and Laravel.', 'Experience customizing and extending WordPress functionality.', 'Familiarity with version control systems (e.g., Git).', 'Knowledge of database design, optimization, and querying.', 'Excellent problem-solving and debugging skills.']","['Develop and maintain responsive web applications using HTML, CSS, and CSS frameworks.', 'Implement advanced features and functionality using JavaScript, jQuery, and other front-end technologies.', 'Design and optimize database schemas, and write efficient queries for PHP and Laravel applications.', 'Customize and extend WordPress functionality to meet project requirements.', 'Collaborate with cross-functional teams to design, develop, and deploy high-quality web solutions.', 'Debug and troubleshoot technical issues, ensuring smooth operation of web applications.', 'Stay updated with the latest industry trends and emerging technologies in web development.', 'Provide mentorship and guidance to junior developers, fostering a collaborative work environment.']",2 To 5 Years,"['Angular', 'WordPress', 'Laravel PHP', 'JavaScript', 'PHP', 'Software Development', 'jQuery']"
53,Full Stack Developer (.Net & Angular),GoodsMart,"Zamalek, Cairo",Full Time,Entry Level (Junior Level / Fresh Grad),"[""Bachelor's degree in Computer Science, Information Systems, or equivalent"", 'Proven experience as a Full Stack Developer or similar role', 'Proficiency in .NET framework and C# development & Entity Framework.', ' Experience with Angular.', ' Agile mindset with strong problem-solving skills.', 'Knowledge of multiple front-end languages and libraries (e.g. HTML/ CSS, JavaScript, XML, jQuery)', 'Familiarity with databases (e.g. MySQL, MSSQL).', 'Strong knowledge of Object-Oriented Programming and Design Patterns.', 'Excellent communication and teamwork skills', 'Great attention to detail', 'Organizational skills', 'An analytical mind', 'DevExpress controls is a plus.', 'Good work ethics, Team player, positive and self-motivated.', 'Knowledge of at least one of (Crystal reports, Open XML, and reporting services).']","['Employment type: Full-time (Hybrid)', 'Work Location: Zamalek, Cairo.', 'Develop and maintain secure, high-performance web applications using the latest technologies', 'Design, build and deploy web applications using Angular, ASP.NET Core, and other web technologies', 'Analyze user requirements and develop software solutions', 'Design and implement database schemas and maintain database integrity', 'Identify and troubleshoot application issues and develop solutions to resolve them', 'Optimize application performance and scalability', 'Provide technical support and guidance to other team members']",1 To 2 Years,"['Angular', 'Agile', 'Computer Science', 'CSS', 'front-end', 'Full Stack', 'HTML', 'Information Technology (IT)', 'MySQL', 'Software Development', 'ASP.NET Core', 'ASP.Net Web API', 'Database', 'jQuery', 'JavaScript', 'Relational Databases', 'DevExpress']"
54,Senior Full Stack Developer (Angular / Java),Confidential Company,"Cairo, Egypt",Full Time,Experienced (Non-Manager),"['Proven experience as a Full Stack Developer or similar role', 'Experience developing desktop and mobile applications', 'Familiarity with common stacks', 'Knowledge of multiple front-end languages and libraries (e.g. HTML/ CSS, JavaScript, XML, jQuery)', 'Knowledge of multiple back-end languages (e.g. C#, Java, Python) and JavaScript frameworks (e.g. Angular, React, Node.js)', 'Familiarity with databases (e.g. MySQL, MongoDB), web servers (e.g. Apache), and UI/UX design', 'Excellent communication and teamwork skills', 'Great attention to detail', 'Organizational skills', 'An analytical mind', 'Degree in Computer Science, or a relevant field', 'Very Good command of English.', 'Experienced in modern front end framework (Angular5+, bonus points for latest versions of Angular)', 'Preferred development experience with Typescript.', 'Significant experience with CSS preprocessors (LESS/Sass)', 'Ability to write high-performance, reusable code for UI components.', 'In-depth experience with modern responsive web design.', 'Knowledge of native DOM and Event APIs', 'Knowledgeable with Git', 'Experienced in Reactive programming', 'Experience in J2EE Application', '+3 years of experience with latest versions of Spring Framework', 'Knowledge of Web Servers Apache Tomcat / WebSphere', 'Significant experience with Database: Oracle', 'Perform a test code with Junit', 'Experience with JPA and Hibernate', 'Knowledge of Jenkins, Sonar and Testing/QA assurance', 'Experience with WebServices SOAP and REST', 'Broad knowledge of different components and tools available in the market and pros and cons of them', 'Experience in Financial services', 'Experience in OWASP security measures', 'Linux, *nix', 'NodeJS experience', 'Financial services experience', 'Experience with Webpack', 'Experience with web site/app security', 'Native and Hybrid programming', 'NgRx library']","['Passionate about web technologies', 'Collaborate with other teams to ensure design and integration', 'Develop in a test-oriented and fast-paced environment', 'Capable of creating strategies to implement products in the best roadmap for balance between technical and business objectives', 'Identify and communicate risks before implementing the solution', 'Resolve defects during QA testing and in post-release patches', 'Optimization of the application for maximum speed and scalability']",6 To 10 Years,"['Angular', 'Java', 'Full Stack Development']"
55,Senior Full Stack Developer,GetTechForce.com,"Cairo, Egypt",Full Time,Manager,[],[],More Than 3 Years,"['Full Stack Developer', 'Information Technology (IT)', 'Git', 'React Native', 'Python', 'Angular', 'Google cloud platforms']"
56,.Net React Full-stack Developer,Premier Services and Recruitment,"Cairo, Egypt",Full Time,Experienced (Non-Manager),"['\uf0b7 Bachelor’s degree in computer science, Information Technology, or a related field.', '\uf0b7 Proven experience as a full-stack developer with a strong background in .NET and React development.', '\uf0b7 Excellent problem-solving and analytical skills.', '\uf0b7 Strong communication and teamwork abilities.', '\uf0b7 A self-starter with a passion for staying updated on industry trends and emerging technologies. \n ']","['\uf0b7 Develop and maintain web applications using C# or VB.NET and React.', '\uf0b7 Design and implement web services (WCF and Web API) to create a service-oriented architecture.', '\uf0b7 Work with SQL Server, including T-SQL and SSIS, for data management.', '\uf0b7 Utilize XML/XSL for data transformation and integration.', '\uf0b7 Apply object-oriented programming (OOP) principles and design patterns in development.', '\uf0b7 Follow test-driven development (TDD) practices to ensure code quality and reliability.', '\uf0b7 Work with .NET 4.0 onwards and related technologies, including Ajax, JavaScript, jQuery, CSS.', '\uf0b7 Utilize Visual Studio 2013 for application development.', '\uf0b7 Collaborate with cross-functional teams to enhance and maintain Winforms enterprise applications.', '\uf0b7 Maintain code version control using Subversion.', '\uf0b7 Work with continuous integration tools like TeamCity.', '\uf0b7 Demonstrate knowledge of build tools and virtualization.', '\uf0b7 Understand and apply UML (Unified Modeling Language) principles when necessary \n ']",1 To 3 Years,"['Full-Stack', 'React', 'Computer Science', 'developer', 'NET', 'JavaScript']"
57,Full Stack Developer,Confidential Company,"Cairo, Egypt",Full Time,Experienced (Non-Manager),"['Proven experience as a Full Stack Developer or similar role', 'Experience developing desktop and mobile applications', 'Familiarity with common stacks', 'Knowledge of multiple front-end languages and libraries (e.g. HTML/ CSS, JavaScript, XML, jQuery)', 'Knowledge of multiple back-end languages (e.g. C#, Java, Python) and JavaScript frameworks (e.g. Angular, React, Node.js)', 'Familiarity with databases (e.g. MySQL, MongoDB), web servers (e.g. Apache) and UI/UX design', 'Excellent communication and teamwork skills', 'Great attention to detail', 'Organizational skills', 'An analytical mind', 'Degree in Computer Science, Statistics or relevant field']",[],2 To 5 Years,"['Java', 'Information Technology (IT)', 'CSS', 'ASP.Net Web API', 'Web Development', 'iis', 'HTML', 'Full Stack', 'ASP.Net', 'ORM', 'jQuery', 'SQL Server', 'Microsoft SQL Server']"
58,Java Full Stack Developer,Dedalus,"Nasr City, Cairo",Full Time,Entry Level (Junior Level / Fresh Grad),"['Extremely fluent in Core Java, JSP and Servlets, EJB 3.0, Eclipse, Ajax, JavaScript and XML', 'Extremely fluent in Core Java, Spring boot, Rest API, Eclipse.', 'Strong Experience on JavaScript, JQuery, AJAX & JSON knowledge', 'Good hands-on experience in Oracle/Pl-SQL technologies.', 'Ability to write/debug and understand database business objects.', 'Expertise on HTML 5, CSS 3,UI Standards and development of browser agnostic web applications.', 'Excellent debugging skills; able to debug complex technical issues involving multiple system components.', 'Proven experience on Unit Test Automation (jUNIT)', 'Excellent at SOLID design principles and understanding of various other design patterns.', 'Effective problem-solving skills.', 'Experience with Agile methodologies.', 'Command of languages: English (Excellent)', 'Identify options for potential solutions and assess them for technical and business suitability', 'Keep abreast of technical and industry developments', 'Familiarity with version control systems such as TFS, Bit bucket, IBMs CM Synergy & code management principles.', 'Masters’ or bachelor’s degree in Computer Science, MIS, or Engineering', '1 – 2  years of relevant IT experience with solid technical exposure and', 'Candidate with more than 1+ Years should have experience in 4 or more real-time software development projects and handled/led 2 or more projects independently.', 'Should have experience on designing/developing large scale or mission critical applications, preferably in the field of Healthcare.', 'Exposure to Mobile platforms (Android/iOS) is an added advantage.', 'Passion for programming extends beyond working hours.', 'Experience of liaising extensively with external (onsite) or internal clients']",[],1 To 2 Years,"['core java', 'jsp', 'Servlets', 'EJB 3', 'healthcare', 'oracle', 'plsql', 'Spring Boot', 'RESTful APIs', 'Java Development', 'Java', 'EJB', 'Hibernate']"
59,Full-Stack .NET Web Developer,Nahr Development,"Mokattam, Cairo",Full Time,Entry Level (Junior Level / Fresh Grad),"['Proven experience as a Full Stack Developer or similar role', 'Experience developing Web Applications and mobile applications', 'Familiarity with common stacks', 'Knowledge of multiple front-end languages and libraries (e.g. HTML/ CSS, JavaScript, XML, jQuery)', 'Knowledge of multiple back-end languages (e.g. C#,  Python) and JavaScript frameworks (e.g. Angular, React, Node.js, VueJS)', 'Familiarity with databases (e.g. MSQL, Oracle), web servers (e.g. IIS), and UI/UX design', 'Excellent communication and teamwork skills', 'Great attention to detail', 'Organizational skills', 'An analytical mind', 'Degree in Computer Science, Statistics, or a relevant field']","['Work with development teams and product managers to ideate software solutions', 'Design client-side and server-side architecture', 'Build the front-end of applications through appealing visual design', 'Develop and manage well-functioning databases and applications', 'Write effective APIs', 'Test software to ensure responsiveness and efficiency', 'Troubleshoot, debug and upgrade software', 'Create security and data protection settings', 'Build features and applications with a mobile responsive design', 'Write technical documentation', 'Work with data scientists and analysts to improve software']",6 To 10 Years,"['Information Technology (IT)', 'ASP.NET', '.NET', 'C#', 'Microsoft SQL Server', 'ADO.NET', 'JavaScript', 'MVC', 'Full Stack Development', 'Web Development', 'Telecommunication', 'Computer Science', 'Ionic', 'JSON', 'AJAX', 'jQuery', 'SQL', 'CSS', 'HTML5', 'Angular', 'Python']"
60,Senior Full Stack Developer (on-site),Union Coop,"Dokki, Giza",Full Time,Experienced (Non-Manager),"['A minimum of 4 years of experience in full-stack development.', 'Strong expertise in .NET Framework, .NET Core, ASP.NET Core, Entity Framework, SQL Server, RESTful APIs, DevExpress Libraries, HTML, CSS, Bootstrap, and JavaScript, Angular, or TypeScript.', 'Proven experience in designing and implementing scalable and efficient software solutions.', 'Strong problem-solving skills and the ability to troubleshoot and debug software issues.', 'Excellent verbal and written communication skills.', ""Bachelor's degree in Computer Science, Engineering, or a related field is preferred."", 'Salary in EGP but is based on AED monthly conversion rate', '30 days annual leaves balance', 'Medical insurance']","['Design, develop, and maintain software applications using .NET Framework, .NET Core, and ASP.NET Core.', 'Work with cross-functional teams to identify, design, and implement software solutions that meet customer requirements.', 'Develop and maintain database structures using SQL Server and Entity Framework.', 'Create RESTful APIs to enable seamless communication between front-end and back-end systems.', 'Use DevExpress Libraries to design and implement user-friendly interfaces.', 'Write clean, efficient, and well-documented code in HTML, CSS, Bootstrap, JavaScript, Angular or TypeScript, ', 'Ensure that all software solutions are scalable, secure, and optimized for performance.', 'Troubleshoot and debug software issues as they arise.', 'Stay up-to-date with emerging trends and technologies in software development.']",More Than 4 Years,"['.Net', 'Angular', 'ASP.Net', 'CSS', 'HTML', 'Software', 'Software Development', 'JavaScript']"
61,Full Stack Software Engineer,Callvita,"Maadi, Cairo",Full Time,Experienced (Non-Manager),"['Bachelor’s Degree in Computer Science, Computer Engineering, or Equival ent Field.', '1 to 5 years of experience as a developer in Javascript or front end technologies such as', 'Experience working in an environment where CI/ CD tools are used', 'Experienced using Jira and Git', 'Excellent verbal and communications skills', 'Ability to design and implement software application', 'Ability to work with the technical and business team members', 'Ability to convert user requirements to working software features', 'Excellent knowledge of Object Oriented programming.', 'Experience with microservices architecture.', 'Extensive experience with client side technologies and single page application using HTML', 'ReactJS, Redux,CSS, material design, Javascript, ES6+ or other modern', 'javascript framework', 'General database knowledge in a technology such as SQL databases (postgresql),', 'no sql databases (mongo, dynamo).', 'Good proficiency in the English language', 'Google Firebase, React Native', 'Architecture principles and frameworks such as SOLID', 'Knowledge of agile software methodology', 'AWS is a big plus (Elastic beanstalk, AppSync, ApiGateway, RDS, Cognito, etc.....']","['Build pixel-perfect, buttery smooth UIs across both mobile platforms.', 'Leverage native APIs for deep integrations with both platforms.', 'Diagnose and fix bugs and performance bottlenecks for performance that feels native.', 'Reach out to the open source community to encourage and help implement mission-critical software fixes—React Native moves fast and often breaks things.', 'Maintain code and write automated tests to ensure the product is of the highest quality.', 'Transition existing React web apps to React Native.', 'Firm grasp of the JavaScript, typescript, and its nuances, including ES6+ syntax', 'Knowledge of object-oriented programming', 'Ability to write well-documented, clean Javascript code', 'Rock solid at working with third-party dependencies and debugging dependency conflicts', 'Familiarity with native build tools, like XCode, Gradle {{Android Studio, IntelliJ}}', 'Understanding of REST APIs, the document request model, and offline storage', 'Experience with automated testing suites, like {{Jest or Mocha}}']",1 To 5 Years,"['Software Development', 'Computer Science', 'Computer Engineering', 'javaScript', 'Software', 'Engineering', 'Git', 'Agile', 'CSS', 'SQL', 'Software Engineering', 'Information Technology (IT)', 'Programming', 'AWS', 'react', 'NodeJS']"
62,Senior Full-Stack Java Developer (Java &Angular),CrossWorkers,"New Cairo, Cairo",Full Time,Experienced (Non-Manager),"['Bachelor in Software Engineering or Computer Science.', 'A minimum of 6 years of experience in Java.', 'A minimum of 2 years of experience in Angular.', 'You are fluent in Arabic and English, both written and spoken.', 'You used to work in an international environment.', 'Eager to learn through different resources including self-education.', 'You see challenges and not problems and you attack them with creativity, initiative, and determination.', 'You work independently and targeted with a high activity level.', 'You work well as part of a team and with an ability to deliver even with tough deadlines.', 'Experience with IT Offshore/Nearshore/Outsourcing and European/GCC customers/companies is a plus.', 'You are outgoing with a strong personal drive, enjoy working independently, and are motivated by close collaboration with the management team.', 'You have integrity and empathy as well as excellent communication and facilitation competencies are key to succeed in the job.', 'Excellent hands-on experience in Java', 'Excellent hands-on experience in Angular', 'Very good experience in Microservice architecture', 'Very good experience in Unit Testing', 'Very good experience with multi-threading', 'Nice to have a full understanding of the software development cycle including the testing cycle']",[],More Than 6 Years,"['Angular', 'Development', 'Java', 'Software', 'Software Engineering', 'Computer Science']"
63,Full Stack Web Developer,IQRA Network,"Cairo, Egypt",Full Time,Experienced (Non-Manager),"['experience building back-end services in Node.js, front-end in Angular, and databases in PostgreSQL or any other relational database experience.', 'Must have knowledge of cloud platforms (AWS, Azure, Google cloud).', 'Familiar with a majority of the following technologies ( Node JS, Angular, Nest JS, HTML 5, Google App Scripts, Firebase, JavaScript, jQuery, CSS, and GIT ).', ""Knowledge of how to integrate third-party API's"", 'Knowledge of how to incorporate different data sources and databases and how to deliver optimal output to different client platforms (mobile vs desktop).', 'Understanding of automated unit test and testing platforms and how to implement and integrate them.', 'Proficient in C# with a good knowledge of its ecosystems', 'Proven experience as a Full Stack Developer or similar role', 'Experience developing desktop and mobile applications', 'Familiarity with common stacks', 'Knowledge of multiple front-end languages and libraries (e.g. HTML/ CSS, JavaScript, XML, jQuery)', 'Knowledge of multiple back-end languages (e.g. C#, Java, Python) and JavaScript frameworks (e.g. Angular, React, Node.js)', 'Familiarity with databases (e.g. MySQL, MongoDB), web servers (e.g. Apache) ', 'Excellent communication and teamwork skills', 'Great attention to detail', 'Organizational skills', 'An analytical mind', 'Degree in Computer Science, Statistics or relevant field', 'UI/UX design is extra']","['Create and maintain server-side application logic.', 'Write high quality, readable and testable code.', 'Design and optimize applications for high performance, high availability, and low latency.\nWork on security and data protection.', 'Work with development teams and product managers to ideate software solutions', 'Design client-side and server-side architecture', 'Build the front-end of applications through appealing visual design', 'Develop and manage well-functioning databases and applications', 'Write effective APIs', 'Test software to ensure responsiveness and efficiency', 'Troubleshoot, debug and upgrade software', 'Create security and data protection settings', 'Build features and applications with a mobile responsive design', 'Write technical documentation', 'Work with data scientists and analysts to improve software']",2 To 5 Years,"['Computer Science', 'Full Stack', 'HTML', 'Information Technology (IT)', 'Java', 'JavaScript', 'jQuery', 'CSS', 'MySQL', 'React', 'Software Development', 'Angular', 'Git']"
64,Sr. Full-Stack Mobile Developer,TREX,"Cairo, Egypt",Full Time,Experienced (Non-Manager),[],[],3 To 20 Years,"['application', 'application Developer', 'developer', 'Software Development', 'Software Engineering', 'Front-End Development']"
65,Senior Developer - Full Stack,IST Networks,"Maadi, Cairo",Full Time,Experienced (Non-Manager),[],[],5 To 10 Years,"['Senior Developer', 'Java', 'Java Development', 'Front End', 'Backend', 'Full Stack Development', 'Software Development', 'Java Software Development']"
66,Technical Lead (Full-Stack\.Net Core & Angluar),Link Datacenter,"Maadi, Cairo",Full Time,Manager,"['Sc. in Computer Science or equivalent.', '3+ years of relevant experience.', 'Deep understanding of REST APIs.', 'Solid experience in Angular 14+. Instead, a solid experience in one of the following (ReactJs, VueJS)', 'Solid Knowledge in OOP and OOD.', 'Solid understanding of Database Design and ORM principles.', 'Experience with ES6+.', 'Experience with HTML, CSS3.', 'Strong experience with Git.', 'Prior experience of working in an agile environment.', 'Having skills in Sizing and estimating assigned tasks.', 'Good command English in writing is a must. \n ', 'Nice to have \n\nExperience with state management (Redux / NGRX).', 'Experience with MySQL.', 'Experience with MongoDb.', 'Experience with microservices architecture and DDD.', 'Experience with CQRS design pattern.', 'Experience with message brokers (RabbitMQ, Kafka, Azure Service Bus)', 'Experience with Redis.', 'Good understanding of Azure Development.', 'Good experience with Docker.', 'Good understanding of Security and Data Protection fundamentals.']","['Perform development tasks (backend & frontend) within an agile environment (Scrum and Kanban).', 'Handle existing software problems and carry out requested changes in a timely manner.', 'Participate in team meetings and brainstorming sessions to contribute ideas for our products.', 'Learn new technologies and work with diverse technologies and languages.', 'Write technical documentations for software components and features.']",4 To 7 Years,"['Angular', 'Information Technology (IT)', 'Software Development', 'Computer Science', 'Design', 'Docker', 'Engineering', 'English', 'Git', 'HTML', 'MySQL', 'Agile', 'ASP.NET Core']"
67,Wordpress Developer,Osolutions,"Nasr City, Cairo",Full Time,Experienced (Non-Manager),"['Proven experience in full-stack development with a portfolio of successful projects.', 'Proficient in HTML, CSS, HTML5, CSS3, and CSS frameworks.', 'Strong command of JavaScript, jQuery, Angular, and front-end technologies.', 'Expertise in back-end technologies including PHP and Laravel.', 'Experience customizing and extending WordPress functionality.', 'Familiarity with version control systems (e.g., Git).', 'Knowledge of database design, optimization, and querying.', 'Excellent problem-solving and debugging skills.']","['Develop and maintain responsive web applications using HTML, CSS, and CSS frameworks.', 'Implement advanced features and functionality using JavaScript, jQuery, and other front-end technologies.', 'Design and optimize database schemas, and write efficient queries for PHP and Laravel applications.', 'Customize and extend WordPress functionality to meet project requirements.', 'Collaborate with cross-functional teams to design, develop, and deploy high-quality web solutions.', 'Debug and troubleshoot technical issues, ensuring smooth operation of web applications.', 'Stay updated with the latest industry trends and emerging technologies in web development.', 'Provide mentorship and guidance to junior developers, fostering a collaborative work environment.']",2 To 5 Years,"['Computer Science', 'WordPress', 'Full Stack Development', 'Information Technology (IT)', 'PHP', 'Laravel']"
